Plot,Block,CO2,N,Species,DBH,Height
5,b,Ambient,Unfertilized,Broadleaved species,4.2,7.7
5,b,Ambient,Unfertilized,Broadleaved species,4.4,6.3
5,b,Ambient,Unfertilized,Broadleaved species,6.5,8.1
5,b,Ambient,Unfertilized,Broadleaved species,5,9.5
5,b,Ambient,Unfertilized,Broadleaved species,2.5,5.3
5,b,Ambient,Unfertilized,Broadleaved species,2.3,3.9
5,b,Ambient,Unfertilized,Broadleaved species,2.7,5.6
5,b,Ambient,Unfertilized,Broadleaved species,2.3,5.4
5,b,Ambient,Unfertilized,Broadleaved species,2.2,4.3
6,c,Ambient,Fertilized,Broadleaved species,3.8,4.6
6,c,Ambient,Fertilized,Broadleaved species,10.1,11.79
6,c,Ambient,Fertilized,Broadleaved species,9,11.98
6,c,Ambient,Fertilized,Broadleaved species,3.9,6.6
6,c,Ambient,Fertilized,Broadleaved species,8.8,11.19
6,c,Ambient,Fertilized,Broadleaved species,7.2,9
6,c,Ambient,Fertilized,Broadleaved species,5.9,8.7
6,c,Ambient,Fertilized,Broadleaved species,7.25,9.2
6,c,Ambient,Fertilized,Broadleaved species,4.65,7.8
6,c,Ambient,Fertilized,Broadleaved species,2.7,5.7
6,c,Ambient,Fertilized,Broadleaved species,5.55,8.7
6,c,Ambient,Fertilized,Broadleaved species,3.8,5.5
6,c,Ambient,Fertilized,Broadleaved species,7.4,11.5
6,c,Ambient,Fertilized,Broadleaved species,11.9,15.73
6,c,Ambient,Fertilized,Broadleaved species,4.5,7.9
6,c,Ambient,Fertilized,Broadleaved species,7,9.6
6,c,Ambient,Fertilized,Broadleaved species,3.05,3.05
6,c,Ambient,Fertilized,Broadleaved species,4.7,8.3
6,c,Ambient,Fertilized,Broadleaved species,4.2,7.25
6,c,Ambient,Unfertilized,Broadleaved species,3.2,6.6
6,c,Ambient,Unfertilized,Broadleaved species,6.7,7.7
6,c,Ambient,Unfertilized,Broadleaved species,5,9.2
6,c,Ambient,Unfertilized,Broadleaved species,5.9,6.6
6,c,Ambient,Unfertilized,Broadleaved species,3,5.8
6,c,Ambient,Unfertilized,Broadleaved species,3.5,7
6,c,Ambient,Unfertilized,Broadleaved species,3.8,7.3
6,c,Ambient,Unfertilized,Broadleaved species,2.6,5.1
6,c,Ambient,Unfertilized,Broadleaved species,2.5,5.1
6,c,Ambient,Unfertilized,Broadleaved species,7.8,9.2
6,c,Ambient,Unfertilized,Broadleaved species,7.8,11.47
6,c,Ambient,Unfertilized,Broadleaved species,4.6,6.7
6,c,Ambient,Unfertilized,Broadleaved species,8,10.02
6,c,Ambient,Unfertilized,Broadleaved species,4.9,6.9
6,c,Ambient,Unfertilized,Broadleaved species,8.6,10.92
6,c,Ambient,Unfertilized,Broadleaved species,6.65,12
6,c,Ambient,Unfertilized,Broadleaved species,12.1,16.47
6,c,Ambient,Unfertilized,Broadleaved species,6.8,10
6,c,Ambient,Unfertilized,Broadleaved species,5.4,7
6,c,Ambient,Unfertilized,Broadleaved species,3.1,6.4
6,c,Ambient,Unfertilized,Broadleaved species,6.65,11.7
6,c,Ambient,Unfertilized,Broadleaved species,4.1,8.6
6,c,Ambient,Unfertilized,Broadleaved species,5.2,9.8
6,c,Ambient,Unfertilized,Broadleaved species,5.6,8
6,c,Ambient,Unfertilized,Broadleaved species,2.7,5.8
6,c,Ambient,Unfertilized,Broadleaved species,2.7,4.8
6,c,Ambient,Unfertilized,Broadleaved species,3.2,5.9
7,d,Elevated,Fertilized,Broadleaved species,4.75,7.6
7,d,Elevated,Fertilized,Broadleaved species,6.3,9.05
7,d,Elevated,Fertilized,Broadleaved species,5.25,8.1
7,d,Elevated,Fertilized,Broadleaved species,3.6,6.15
7,d,Elevated,Fertilized,Broadleaved species,9.3,12.29
7,d,Elevated,Fertilized,Broadleaved species,5,8.5
7,d,Elevated,Fertilized,Broadleaved species,4,8.05
7,d,Elevated,Fertilized,Broadleaved species,8,12.25
7,d,Elevated,Fertilized,Broadleaved species,2.2,5.6
7,d,Elevated,Fertilized,Broadleaved species,8.6,12.34
7,d,Elevated,Fertilized,Broadleaved species,4,6.35
7,d,Elevated,Fertilized,Broadleaved species,4.1,5.8
7,d,Elevated,Fertilized,Broadleaved species,3.1,5.1
7,d,Elevated,Fertilized,Broadleaved species,9.3,10.79
7,d,Elevated,Fertilized,Broadleaved species,2.8,4.4
7,d,Elevated,Fertilized,Broadleaved species,3.9,6.8
7,d,Elevated,Fertilized,Broadleaved species,3.2,6.35
7,d,Elevated,Fertilized,Broadleaved species,2.4,4
7,d,Elevated,Fertilized,Broadleaved species,2,4.2
7,d,Elevated,Unfertilized,Broadleaved species,5.3,8.9
7,d,Elevated,Unfertilized,Broadleaved species,3.1,6
7,d,Elevated,Unfertilized,Broadleaved species,11.5,14.33
7,d,Elevated,Unfertilized,Broadleaved species,5,6.34
7,d,Elevated,Unfertilized,Broadleaved species,10.8,6.7
7,d,Elevated,Unfertilized,Broadleaved species,2.9,5.75
7,d,Elevated,Unfertilized,Broadleaved species,12,14.96
7,d,Elevated,Unfertilized,Broadleaved species,7.3,7.42
7,d,Elevated,Unfertilized,Broadleaved species,3,5.4
7,d,Elevated,Unfertilized,Broadleaved species,11.2,12.5
7,d,Elevated,Unfertilized,Broadleaved species,3.35,5
7,d,Elevated,Unfertilized,Broadleaved species,4,8.15
7,d,Elevated,Unfertilized,Broadleaved species,3.9,8.88
7,d,Elevated,Unfertilized,Broadleaved species,3.9,7.1
7,d,Elevated,Unfertilized,Broadleaved species,11,11.75
7,d,Elevated,Unfertilized,Broadleaved species,5.4,8.65
7,d,Elevated,Unfertilized,Broadleaved species,9.1,12.64
7,d,Elevated,Unfertilized,Broadleaved species,2.2,5.7
7,d,Elevated,Unfertilized,Broadleaved species,2.7,6.7
7,d,Elevated,Unfertilized,Broadleaved species,4.2,6.95
7,d,Elevated,Unfertilized,Broadleaved species,11,13.87
7,d,Elevated,Unfertilized,Broadleaved species,3.6,7.25
7,d,Elevated,Unfertilized,Broadleaved species,5.8,9.67
7,d,Elevated,Unfertilized,Broadleaved species,6.4,9.75
7,d,Elevated,Unfertilized,Broadleaved species,9.7,13.35
7,d,Elevated,Unfertilized,Broadleaved species,4.3,3.5
7,d,Elevated,Unfertilized,Broadleaved species,2.1,4.6
8,d,Ambient,Unfertilized,Broadleaved species,3.6,5.65
8,d,Ambient,Unfertilized,Broadleaved species,4.7,8.25
8,d,Ambient,Unfertilized,Broadleaved species,4.7,6.75
8,d,Ambient,Unfertilized,Broadleaved species,3.3,6.75
8,d,Ambient,Unfertilized,Broadleaved species,2.3,4.75
8,d,Ambient,Unfertilized,Broadleaved species,4.4,6.5
8,d,Ambient,Unfertilized,Broadleaved species,11,12.6
8,d,Ambient,Unfertilized,Broadleaved species,4.5,6.1
8,d,Ambient,Unfertilized,Broadleaved species,8.9,9.45
8,d,Ambient,Unfertilized,Broadleaved species,5.6,9.05
8,d,Ambient,Unfertilized,Broadleaved species,6,8.55
8,d,Ambient,Unfertilized,Broadleaved species,6,10.2
8,d,Ambient,Unfertilized,Broadleaved species,3.7,4.2
8,d,Ambient,Unfertilized,Broadleaved species,7.6,10.2
8,d,Ambient,Unfertilized,Broadleaved species,7.1,8.8
8,d,Ambient,Unfertilized,Broadleaved species,6.3,8.9
8,d,Ambient,Unfertilized,Broadleaved species,3.5,7.1
8,d,Ambient,Unfertilized,Broadleaved species,2.55,4.3
8,d,Ambient,Unfertilized,Broadleaved species,4.2,6.25
8,d,Ambient,Unfertilized,Broadleaved species,8.5,9.45
8,d,Ambient,Fertilized,Broadleaved species,8.3,9.71
8,d,Ambient,Fertilized,Broadleaved species,7.5,6.9
8,d,Ambient,Fertilized,Broadleaved species,8.2,10.56
8,d,Ambient,Fertilized,Broadleaved species,2.6,3.6
8,d,Ambient,Fertilized,Broadleaved species,8,8.28
8,d,Ambient,Fertilized,Broadleaved species,6,3.75
8,d,Ambient,Fertilized,Broadleaved species,2.6,2.65
8,d,Ambient,Fertilized,Broadleaved species,7,9.82
8,d,Ambient,Fertilized,Broadleaved species,2,3.45
8,d,Ambient,Fertilized,Broadleaved species,2.6,3
8,d,Ambient,Fertilized,Broadleaved species,8.4,7.88
8,d,Ambient,Fertilized,Broadleaved species,8,9.05
8,d,Ambient,Fertilized,Broadleaved species,2.2,1.74
8,d,Ambient,Fertilized,Broadleaved species,7.3,8.5
8,d,Ambient,Fertilized,Broadleaved species,10.9,12.16
8,d,Ambient,Fertilized,Broadleaved species,2.5,4.25
8,d,Ambient,Fertilized,Broadleaved species,3.2,5.05
